timestamp,symbol,pair,entry_price,breakout_score,signal,rsi14,macd_signal,macd_histogram,volume_24h,volume_spike,change_1h,change_24h,momentum,tags,price_15m,price_1h,price_4h,return_15m,return_1h,return_4h
2026-04-16T03:57:55.671Z,AAVE,AAVE-USD,106.95,75,buy,62.05,bullish,0.02062696,8185279.00,0.18,3.71,7.85,0.5169,RSI bullish zone; MACD bullish; surging,,,,,
2026-04-16T03:57:55.671Z,PNUT,PNUT-USD,0.0544,75,buy,25.76,bearish,-0.00017541,587512.12,0.08,20.35,28.30,0.0000,RSI oversold; pumping,,,,,
2026-04-16T03:57:55.671Z,SPX,SPX-USD,0.3437,75,buy,18.09,bearish,-0.00049777,588425.48,0.01,6.24,5.33,-0.9225,RSI oversold; pumping,,,,,
2026-04-16T03:57:55.671Z,NOM,NOM-USD,0.0031,73,buy,25.00,bearish,-0.00000277,717027.20,1.81,-2.82,-11.68,-0.3215,RSI oversold; elevated volume,,,,,
2026-04-16T03:57:55.671Z,BIO,BIO-USD,0.04602,72,buy,58.24,bullish,0.00021951,13806210.38,0.65,82.55,137.09,10.3862,strong uptrend; pumping,,,,,
2026-04-16T03:57:55.672Z,TIME,TIME-USD,4.07,72,buy,67.09,bullish,0.04216790,2618387.39,0.23,-8.74,72.46,4.3590,RSI bullish zone; MACD bullish; uptrend; dumping,,,,,
2026-04-16T03:57:55.672Z,AZTEC,AZTEC-USD,0.02301,70,buy,25.33,bearish,-0.00001820,468065.65,1.09,3.18,4.21,-0.2601,RSI oversold; surging,,,,,
2026-04-16T04:32:55.498Z,AZTEC,AZTEC-USD,0.02284,78,buy,38.46,bearish,-0.00000494,470146.19,2.36,3.77,6.13,-0.3055,RSI approaching oversold; volume spike; surging,,,,,,
2026-04-16T04:32:55.498Z,NOM,NOM-USD,0.00314,75,buy,61.54,bullish,0.00000380,714775.28,3.15,-1.57,-10.29,1.2903,RSI bullish zone; major volume spike,,,,,,
2026-04-16T04:32:55.498Z,TURBO,TURBO-USD,0.001193,72,buy,60.67,bullish,0.00000227,1268223.50,0.14,8.65,16.62,2.9336,RSI bullish zone; uptrend; pumping,,,,,,
2026-04-16T04:32:55.498Z,AAVE,AAVE-USD,107.22,70,buy,64.53,bullish,0.02166429,8312527.61,0.16,1.62,7.33,0.3933,RSI bullish zone; MACD bullish,,,,,,
2026-04-16T04:32:55.498Z,LTC,LTC-USD,55.52,70,buy,67.16,bullish,0.01948882,8192954.24,1.24,1.17,2.15,0.5069,RSI bullish zone; MACD bullish,,,,,,
2026-04-16T04:32:55.498Z,TRUMP,TRUMP-USD,2.89,70,buy,16.67,bearish,-0.00015707,976546.40,0.87,2.48,0.70,-0.3448,RSI oversold; surging,,,,,,
2026-04-16T04:32:55.498Z,LIGHTER,LIGHTER-USD,1.062,70,buy,63.33,bearish,-0.00044835,909783.31,2.16,1.63,-2.39,0.9506,RSI bullish zone; volume spike,,,,,,
2026-04-16T04:32:55.498Z,IP,IP-USD,0.507,70,buy,57.14,bullish,0.00002910,826930.89,3.01,1.81,1.20,0.1976,major volume spike,,,,,,
2026-04-16T05:23:56.819Z,VVV,VVV-USD,8.7142,76,buy,67.01,bullish,0.01153463,5166658.03,4.59,1.77,-3.22,1.5215,RSI bullish zone; MACD bullish; major volume spike,1b560ee0,N,,,,,,
2026-04-16T05:23:56.819Z,BNB,BNB-USD,623.48,70,buy,44.37,bearish,-0.12194649,907701.69,3.33,-0.09,1.26,-0.1201,major volume spike; ⚠ fee risk,1b560ee0,Y,,,,,,
